Date,Description,Amount,Category
2025-04-05,transaction at irctc,20666.49,Travel
2025-12-06,transaction at myntra,1919.05,Online Shopping
2025-06-20,transaction at bigbazaar,2837.68,Grocery
2025-04-23,transaction at property tax online,1071.04,Bills
2025-03-06,transaction at asus store,10722.8,Electronics
2025-10-30,transaction at max fashion,3502.77,Clothing
2025-06-11,transaction at property tax online,5334.34,Bills
2025-01-03,transaction at airtel,1472.58,Bills
2025-07-27,transaction at wrogn,1965.86,Clothing
2025-08-16,transaction at aha,250.69,Entertainment
2025-03-04,transaction at airtel,3989.88,Bills
2025-06-23,transaction at cream stone,525.94,Food
2025-06-24,transaction at cream stone,393.35,Food
2025-05-10,transaction at indigo,24147.34,Travel
2025-07-28,transaction at nilgiris,1295.25,Grocery
2025-04-26,transaction at tsrtc,1287.28,Transport
2025-02-11,transaction at metro rail,723.54,Transport
2025-05-03,transaction at irctc,11324.06,Travel
2025-06-27,transaction at ajio,6989.5,Online Shopping
2025-12-27,transaction at nilgiris,1436.49,Grocery
2025-11-10,transaction at nykaa,16470.71,Online Shopping
2025-05-21,transaction at dominos,851.8,Food
2025-03-08,transaction at airasia,20599.36,Travel
2025-11-30,transaction at kfc,1260.41,Food
2025-08-25,transaction at netflix,828.75,Entertainment
2025-05-29,transaction at apple store,131786.69,Electronics
2025-02-06,transaction at spotify,177.44,Entertainment
2025-03-09,transaction at water board,2367.05,Bills
2025-02-27,transaction at vodafone idea,4047.44,Bills
2025-05-20,transaction at zara,7133.34,Clothing
2025-12-27,transaction at ajio,6351.17,Online Shopping
2025-05-20,transaction at boat lifestyle,128424.24,Electronics
2025-02-08,transaction at aster,17253.66,Healthcare
2025-09-23,transaction at oneplus,134214.53,Electronics
2025-09-25,transaction at adidas,7195.3,Clothing
2025-03-27,transaction at cloudnine,18022.92,Healthcare
2025-02-06,transaction at taco bell,1158.63,Food
2025-05-26,transaction at metro rail,982.63,Transport
2025-10-04,transaction at jiomart,552.08,Grocery
2025-05-07,transaction at zara,7654.25,Clothing
2025-04-10,transaction at apple store,111005.98,Electronics
2025-05-27,transaction at barbeque nation,610.2,Food
2025-11-03,transaction at bigbazaar,2051.12,Grocery
2025-02-25,transaction at rapido,601.33,Transport
2025-12-13,transaction at hotstar,850.41,Entertainment
2025-10-05,transaction at snapdeal,17659.33,Online Shopping
2025-06-20,transaction at allen solly,6845.1,Clothing
2025-01-22,transaction at 1mg,10543.34,Healthcare
2025-09-16,transaction at biba,1592.02,Clothing
2025-08-03,transaction at ola,1456.02,Transport
2025-05-11,transaction at asus store,39285.05,Electronics
2025-11-30,transaction at pharmeasy,14997.81,Healthcare
2025-05-27,transaction at airtel,5491.42,Bills
